epoch,train_loss,val_loss,val_n,val_ndcg@10,val_recall@10
1,0.021609,0.042048,514,0.0369352410840144,0.0352140077821011
2,0.008476,0.022798,514,0.0328894928127698,0.0291828793774319
3,0.00549,0.02099,514,0.0355486132978838,0.0317120622568093
4,0.004596,0.021304,514,0.035205841267174,0.0313229571984435
5,0.00382,0.019984,514,0.0340684720896868,0.0291828793774319
6,0.003237,0.022098,514,0.0380190863235865,0.0334630350194552
7,0.002842,0.018848,514,0.0365057231992472,0.0324902723735408
8,0.002518,0.01919,514,0.0364405817823243,0.0319066147859922
9,0.002211,0.019099,514,0.0362952554753998,0.0319066147859922
10,0.002042,0.019166,514,0.035741989815184554,0.03171206225680934
