epoch,train_loss,val_loss,val_n,val_ndcg@10,val_recall@10
1,4.078871,4.258955,514,0.051189023077411,0.0501945525291828
2,3.79507,4.442581,514,0.051847457161587,0.0511673151750972
3,3.451248,4.718746,514,0.0528052747244037,0.0519455252918288
4,3.211265,4.869732,514,0.0550316650068161,0.0554474708171206
5,3.040356,4.946472,514,0.0519484921606462,0.0513618677042801
6,2.873508,4.983289,514,0.056450718025305,0.0554474708171206
7,2.693902,5.028092,514,0.0609791151652894,0.0608949416342412
8,2.543664,5.09374,514,0.0550663403762175,0.0535019455252918
9,2.435313,5.10352,514,0.056982088504134,0.0566147859922179
10,2.366287,5.112144,514,0.05954726946356783,0.058171206225680935
