epoch,train_loss,val_loss,val_n,val_ndcg@10,val_recall@10
1,4.089577,4.18094,514,0.0528522918561631,0.0505836575875486
2,3.82663,4.54092,514,0.0534717983949962,0.0517509727626459
3,3.427983,5.242471,514,0.0490702736629489,0.046692607003891
4,3.074906,5.488943,514,0.0528022218434151,0.0527237354085603
5,2.722105,5.621774,514,0.049204307203885,0.048249027237354
6,2.378969,5.806816,514,0.0521967071044341,0.0511673151750972
7,2.119932,5.905035,514,0.051109212130787,0.0509727626459144
8,1.927793,5.933755,514,0.0537763246025805,0.0533073929961089
9,1.790813,5.982162,514,0.0548004250880894,0.0542801556420233
10,1.700782,5.97539,514,0.05382314662172765,0.05291828793774318
