epoch,train_loss,val_loss,val_n,val_ndcg@10,val_recall@10
1,4.111783,4.254478,514,0.0477240745963478,0.0447470817120622
2,3.816994,4.758338,514,0.0512426567078959,0.0505836575875486
3,3.424653,5.360628,514,0.0559906896831532,0.0536964980544747
4,3.036926,6.288554,514,0.0489455931175904,0.0488326848249027
5,2.618364,6.828997,514,0.0490910365202905,0.0496108949416342
6,2.183981,7.339507,514,0.0484913740998051,0.048249027237354
7,1.855762,7.602896,514,0.0503880828571553,0.0511673151750972
8,1.59669,7.68293,514,0.0476191699786786,0.048249027237354
9,1.425599,7.776064,514,0.0482311233368363,0.0492217898832684
10,1.310031,7.780678,514,0.047009475410384464,0.04824902723735409
