epoch,train_loss,val_loss,val_n,val_ndcg@10,val_recall@10
1,0.023424,0.022138,514,0.0457989935062555,0.0437743190661478
2,0.00977,0.01777,514,0.0460158158589201,0.0416342412451361
3,0.006457,0.016257,514,0.0426091038494769,0.0404669260700389
4,0.005049,0.017295,514,0.0436955964646557,0.0412451361867704
5,0.004275,0.015673,514,0.0414186011448265,0.0400778210116731
6,0.003681,0.015092,514,0.042460510012297,0.041828793774319
7,0.003183,0.015477,514,0.0394866306954462,0.0391050583657587
8,0.002852,0.015408,514,0.0429163121275446,0.0420233463035019
9,0.002552,0.015498,514,0.0411570190714101,0.0408560311284046
10,0.002331,0.015503,514,0.04207175836560935,0.041245136186770434
